release_date,score,country_x,genre,budget,revenue,type,title,country_y,date_added
2022-12-22,65.0,CO,Comedy,100000000.0,246367071.0,,,,
2022-10-13,78.0,AU,Drama,20000000.0,326479707.4,,,,
2022-12-01,76.0,AU,Action,20000000.0,76599607.0,,,,
2022-01-13,67.0,AU,Horror,24000000.0,138874789.0,TV Show,Scream,United States,2021-07-06
2022-01-13,67.0,AU,Horror,15000000.0,173046640.0,TV Show,Scream,United States,2021-07-06
2023-01-20,74.0,AU,War,90000000.0,20000000.0,,,,
2022-10-27,78.0,AU,Action,50000000.0,94374749.0,,,,
2023-04-20,74.0,AU,Horror,132500000.0,469254456.2,,,,
2023-02-16,67.0,DE,Drama,79800000.0,387664307.6,,,,
2022-01-06,58.0,RU,Science Fiction,134000000.0,308786595.8,,,,
2022-05-05,74.0,AU,Fantasy,200000000.0,952224986.0,,,,
2022-07-01,53.0,AU,Action,136400000.0,194565354.0,,,,
2018-04-25,83.0,AU,Adventure,300000000.0,2048359754.0,Movie,Avengers: Infinity War,United States,2018-12-25
2022-09-23,68.0,AU,Horror,17000000.0,216049734.0,,,,
2023-03-23,47.0,MX,Comedy,100100000.0,947468745.8,,,,
2023-01-20,56.0,US,Action,134200000.0,772865923.6,,,,
2022-11-24,65.0,AU,Animation,135000000.0,69566884.0,,,,
1958-12-12,78.0,AU,Drama,13500000.0,85433929.0,,,,
1958-12-12,78.0,AU,Drama,10000000.0,1051907.0,,,,
2019-03-29,80.0,JP,Action,129000000.0,645532173.4,,,,
2022-10-28,63.0,ES,Comedy,110000000.0,271669045.6,,,,
2022-07-04,75.0,AU,Animation,80000000.0,939200081.0,,,,
2018-12-06,70.0,AU,Drama,50000000.0,213591522.0,,,,
2015-11-26,74.0,AU,Drama,37000000.0,173567581.0,,,,
2022-08-25,68.0,AU,Thriller,36000000.0,59103794.0,,,,
2023-05-19,0.0,US,Action,340000000.0,0.0,,,,
2022-11-30,68.0,AU,Action,113000000.0,365992130.6,,,,
2021-04-29,77.0,AU,Action,40000000.0,103913405.0,,,,
2022-09-22,57.0,AU,Horror,5000000.0,5954938.0,,,,
2022-03-11,75.0,AU,Animation,175000000.0,10964971.0,,,,
2021-11-28,76.0,AU,Animation,150000000.0,231120602.0,,,,
2022-11-22,59.0,US,Family,86800000.0,284184080.0,,,,
2023-02-09,72.0,AU,Comedy,45000000.0,52000000.0,,,,
2022-12-26,75.0,AU,Comedy,50000000.0,107644101.0,,,,
2021-02-25,62.0,AU,Drama,15160689.0,23800.0,,,,
2016-10-07,82.0,AU,Drama,40000000.0,169023926.0,,,,
2022-12-02,55.0,ES,Drama,6000000.0,7818479.0,,,,
2022-09-23,57.0,US,Horror,103600000.0,134150172.6,,,,
2022-03-17,82.0,AU,Animation,21835777.0,195870885.0,,,,
2022-03-02,77.0,AU,Crime,200000000.0,766326717.0,,,,
2020-11-27,83.0,US,Drama,90000000.0,627851111.8,,,,
1986-07-20,60.0,JP,Animation,151600000.0,675230189.0,,,,
2005-12-26,71.0,AU,Adventure,180000000.0,745013115.0,,,,
2022-07-01,72.0,AU,Horror,1500000.0,123516163.2,,,,
2022-02-04,63.0,US,Western,113000000.0,548624602.6,,,,
2022-12-01,65.0,AU,Thriller,155140000.0,302915354.0,,,,
2022-12-09,60.0,ES,Drama,73800000.0,346352260.6,,,,
2023-04-05,79.0,AU,Drama,28519270.6,5000000.0,,,,
2022-11-18,70.0,AU,Comedy,142600000.0,524597714.8,,,,
2022-08-05,79.0,AU,Animation,147000000.0,721203091.4,,,,
2022-08-04,75.0,AU,Action,85900000.0,238534963.0,,,,
2022-12-09,69.0,US,Animation,124400000.0,508761361.2,,,,
2022-10-25,67.0,AU,Action,131000000.0,431341845.4,,,,
2021-12-26,80.0,AU,Animation,85000000.0,404655351.0,,,,
2022-06-06,59.0,GB,Horror,106000000.0,591557010.2,,,,
2001-06-21,77.0,AU,Animation,50000000.0,491812794.0,,,,
2022-11-05,64.0,US,Documentary,77400000.0,431611098.0,,,,
2023-03-17,62.0,FR,Drama,133000000.0,407446362.4,,,,
2022-12-02,66.0,US,Thriller,85645.0,244880855.2,,,,
2023-01-27,74.0,FI,War,6200000.0,58748957.6,,,,
2023-03-09,77.0,MX,Comedy,105800000.0,667037174.8,,,,
2022-01-14,71.0,AU,Animation,116000000.0,557205138.2,,,,
2023-01-12,67.0,AU,Action,50000000.0,35800000.0,,,,
2023-01-20,60.0,US,Science Fiction,143200000.0,514828593.6,,,,
2022-04-14,79.0,AU,Action,25000000.0,114900000.0,,,,
2022-11-23,71.0,AU,Comedy,40000000.0,13280000.0,,,,
2022-12-02,73.0,ES,Thriller,80000000.0,522029092.4,,,,
2022-08-25,59.0,GB,Horror,118200000.0,307351568.6,,,,
2021-10-28,76.0,AU,Animation,27164600.0,38410729.0,,,,
2023-01-26,81.0,MX,Comedy,149000000.0,1109873157.4,,,,
2022-09-22,68.0,MX,Horror,1704500.0,223147806.6,,,,
2022-12-28,68.0,ES,Animation,98140000.0,494358731.6,,,,
2023-01-13,60.0,US,Action,126800000.0,985255868.8,,,,
2023-01-27,60.0,AU,Animation,89600000.0,367393887.6,,,,
2019-05-25,63.0,AU,Comedy,24000000.0,205809600.8,Movie,Murder Mystery,United States,2019-06-14
2022-11-17,43.0,AR,Horror,87600000.0,817860943.8,,,,
2023-01-19,75.0,AU,Drama,110000000.0,63262638.0,,,,
2022-03-30,66.0,AU,Action,74000000.0,182921990.0,,,,
2022-03-30,66.0,AU,Action,9600000.0,5256839.0,,,,
2022-10-21,67.0,US,Action,50000000.0,725034225.6,,,,
2021-10-20,61.0,IS,Comedy,58100000.0,651717830.0,,,,
2022-12-01,84.0,AU,Animation,2937023.8,17288993.0,,,,
2002-11-28,77.0,AU,Adventure,100000000.0,874954530.0,,,,
2023-03-31,69.0,KR,Action,119100000.0,763309047.0,,,,
2023-01-06,65.0,US,Horror,54060000.0,492646395.4,,,,
2021-11-25,69.0,AU,Science Fiction,110000000.0,506863592.0,,,,
2001-11-29,79.0,AU,Adventure,125000000.0,976475550.0,,,,
2022-09-29,66.0,AU,Comedy,101600000.0,354385756.2,,,,
2022-02-17,70.0,AU,Action,120000000.0,400689914.0,,,,
2022-09-03,74.0,AU,Animation,90000000.0,203000000.0,,,,
2022-02-03,64.0,AU,Science Fiction,150000000.0,59053195.0,,,,
2022-09-23,67.0,FR,Drama,75500000.0,509726081.0,,,,
2022-10-21,64.0,ES,Action,50610000.0,27833.0,,,,
2023-01-27,78.0,AU,Action,150400000.0,327346026.2,,,,
2022-04-07,68.0,AU,Fantasy,200000000.0,404560145.0,,,,
2017-06-22,69.0,AU,Animation,175000000.0,383541369.0,,,,
2022-02-18,66.0,US,Thriller,2500000.0,249984799.4,,,,
2022-12-15,71.0,ID,Action,98840000.0,339023160.4,,,,
2014-11-06,84.0,AU,Adventure,165000000.0,648082655.0,,,,
2023-02-03,59.0,AU,Horror,139000000.0,405888913.2,,,,
2022-10-06,83.0,KR,Romance,119.0,77132590.4,,,,
2022-11-09,61.0,US,Animation,79000000.0,798590398.8,,,,
2023-03-17,67.0,AU,Thriller,117000000.0,521124690.4,,,,
2023-02-16,78.0,AU,Drama,26523270.6,3129968.0,Movie,Close,"United Kingdom, United States",2019-01-18
2009-08-06,78.0,AU,Animation,60000000.0,126037057.0,Movie,Coraline,United States,2017-03-16
2023-03-23,69.0,AU,Thriller,111400000.0,513441742.2,,,,
2005-12-01,78.0,AU,Adventure,150000000.0,886742787.0,,,,
2022-10-14,66.0,ES,Thriller,2400000.0,380512.0,,,,
2022-09-01,68.0,AU,Horror,51489867.0,9572765.0,,,,
2022-06-24,63.0,JP,Action,133200000.0,514445172.4,,,,
2023-02-15,78.0,MX,Comedy,116600000.0,586907459.0,,,,
2022-10-26,66.0,ES,Action,118000000.0,325759805.4,Movie,Polar,"United States, Germany",2019-01-25
1979-10-19,83.0,US,Drama,179800000.0,600820848.4,,,,
2009-07-15,77.0,AU,Adventure,250000000.0,929411069.0,,,,
2022-09-30,61.0,JP,Animation,138000000.0,337725907.8,,,,
2023-03-17,49.0,US,Drama,147200000.0,1052163302.4,,,,
2022-09-23,66.0,US,Thriller,88200000.0,367763875.4,,,,
2022-06-17,63.0,US,Horror,97760000.0,384573450.8,,,,
2016-01-28,72.0,BR,Drama,39307171.0,37070177.0,,,,
2012-04-25,77.0,AU,Science Fiction,225000000.0,1515100211.0,,,,
2012-04-25,77.0,AU,Science Fiction,60000000.0,48585416.0,,,,
2022-10-22,65.0,IT,Romance,138000000.0,405994737.6,,,,
2014-12-11,58.0,AU,Adventure,140000000.0,268314513.0,,,,
2022-09-01,66.0,AU,War,142000000.0,491960363.2,,,,
2023-05-26,0.0,US,Adventure,205000000.0,178359863.0,Movie,The Little Mermaid,United States,2018-12-01
2021-06-17,72.0,AU,Action,200000000.0,726229501.0,,,,
2014-01-22,80.0,AU,Crime,100000000.0,389816136.0,,,,
2023-03-17,78.0,US,Comedy,146000000.0,469006626.2,,,,
2022-12-08,76.0,AU,Animation,119200000.0,379074781.8,,,,
2010-03-18,73.0,AU,Drama,26000000.0,45043870.0,Movie,Brothers,"India, United States",2020-04-01
2010-03-18,73.0,AU,Drama,13000000.0,17856688.0,Movie,Brothers,"India, United States",2020-04-01
2004-06-03,80.0,AU,Adventure,130000000.0,789592708.0,,,,
2022-10-20,46.0,AU,Thriller,4600000.0,731767.0,,,,
2022-03-25,78.0,AU,Action,69000000.0,160000000.0,,,,
2023-03-30,72.0,AU,Drama,28648000.0,18632208.0,,,,
2022-06-30,78.0,AU,Horror,17000000.0,161440742.0,,,,
2022-11-15,69.0,US,Family,57440000.0,689333138.0,,,,
2023-06-09,0.0,US,Action,200000000.0,1240261.6,,,,
2019-04-24,83.0,AU,Adventure,400000000.0,2794731755.0,,,,
2023-06-02,0.0,US,Animation,264940000.0,175269998.8,,,,
2022-10-26,71.0,US,Horror,74400000.0,486333316.0,,,,
2007-07-11,77.0,AU,Adventure,150000000.0,939619849.0,,,,
2022-04-21,71.0,AU,Action,70000000.0,69633110.0,,,,
2017-11-07,70.0,US,Family,127600000.0,683545513.4,,,,
2022-11-18,74.0,AU,Family,132000000.0,352601141.6,,,,
2022-09-08,69.0,AU,Romance,24220050.0,12467270.0,,,,
2022-11-17,62.0,AU,Thriller,10000000.0,16222303.0,,,,
1960-05-12,79.0,AU,Action,95000000.0,91669648.0,,,,
1960-05-12,79.0,AU,Action,15000000.0,73259017.0,,,,
2022-08-19,65.0,US,Romance,111600000.0,534358853.4,,,,
2022-09-30,74.0,AU,Fantasy,40000000.0,0.0,,,,
2022-03-31,62.0,AU,Action,75000000.0,162759437.0,,,,
2011-06-11,61.0,AU,Animation,200000000.0,560155383.0,,,,
2011-01-06,76.0,AU,Animation,260000000.0,583777242.0,,,,
2023-02-01,57.0,AU,Thriller,170000000.0,351483918.0,,,,
2015-02-12,59.0,AU,Drama,40000000.0,570794950.0,,,,
2011-07-13,81.0,AU,Fantasy,125000000.0,1341511219.0,,,,
2011-09-01,82.0,AU,Drama,25000000.0,213120004.0,Movie,The Help,United States,2020-06-01
2001-12-26,78.0,AU,Animation,115000000.0,560483719.0,,,,
2022-03-25,67.0,AU,Animation,143000000.0,508164908.0,,,,
2022-08-25,68.0,US,Action,100000000.0,380428883.0,,,,
2021-03-24,77.0,AU,Action,155000000.0,468043852.0,,,,
2023-01-01,58.0,AU,Action,20000000.0,161597374.4,,,,
2021-09-02,76.0,AU,Action,150000000.0,432224634.0,,,,
2021-03-18,82.0,AU,Action,70000000.0,136635234.2,,,,
2022-06-16,71.0,AU,Animation,200000000.0,218768299.0,,,,
2022-09-07,71.0,BE,Thriller,102400000.0,502443287.6,,,,
2023-03-03,62.0,US,Romance,178400000.0,324436308.4,,,,
2022-06-20,76.0,DK,Thriller,149400000.0,426175485.2,,,,
2023-04-13,82.0,AU,Animation,8224023.8,102258981.0,,,,
2007-05-24,72.0,AU,Adventure,300000000.0,961000000.0,,,,
2022-07-14,57.0,TR,Animation,87200000.0,387787979.0,,,,
2022-10-19,72.0,AU,Fantasy,137000000.0,750323829.8,,,,
2022-05-13,60.0,US,Horror,6320000.0,138450.0,,,,
2004-06-17,72.0,AU,Animation,70000000.0,935253978.0,,,,
2022-04-21,68.0,AU,Action,30000000.0,29116320.0,,,,
2018-01-17,67.0,AU,Drama,55000000.0,371985018.0,,,,
2022-11-25,30.0,ES,Comedy,15541000.0,38139010.0,,,,
2022-02-11,69.0,AU,War,200000000.0,626203271.0,,,,
2018-12-13,84.0,AU,Action,90000000.0,375540831.0,Movie,Spider-Man: Into the Spider-Verse,United States,2019-06-26
2010-11-13,78.0,AU,Adventure,250000000.0,954305868.0,,,,
2022-06-08,68.0,AU,Crime,116200000.0,572201947.0,,,,
2022-08-03,77.0,KR,Action,18052672.0,19200000.0,,,,
2023-01-27,58.0,US,Thriller,107000000.0,297177664.0,,,,
2022-07-05,70.0,AU,Action,63400000.0,11300000.0,,,,
2020-02-20,100.0,KR,Drama,201000000.0,1569323843.8,,,,
2022-01-23,64.0,GB,Horror,20000.0,211802400.4,,,,
2017-04-27,75.0,AU,Drama,20000000.0,96860808.0,,,,
2021-11-04,70.0,AU,Science Fiction,200000000.0,401731759.0,,,,
2022-03-04,57.0,JP,Animation,109000000.0,590124290.8,,,,
2022-03-17,74.0,AU,Drama,15000000.0,84677678.0,,,,
2022-08-25,64.0,AU,Horror,1000000.0,354836.0,Movie,The Invitation,United States,2016-07-08
2021-06-03,75.0,AU,Horror,40000000.0,200266441.0,,,,
2011-04-14,48.0,HK,Drama,3500000.0,10308238.0,,,,
2022-09-23,54.0,US,Science Fiction,6400000.0,8902141.0,,,,
2021-04-22,71.0,AU,Action,55000000.0,83508259.0,Movie,Mortal Kombat,United States,2021-07-01
2021-04-22,71.0,AU,Action,20000000.0,122133227.0,Movie,Mortal Kombat,United States,2021-07-01
2003-09-11,78.0,AU,Adventure,140000000.0,655011224.0,,,,
2021-12-30,72.0,AU,Family,64000000.0,78418101.0,,,,
2022-03-21,69.0,GB,Fantasy,149000000.0,526557525.4,,,,
2021-05-27,81.0,AU,Comedy,200000000.0,233503234.0,,,,
2021-08-05,76.0,AU,Action,185000000.0,167097737.0,,,,
2022-09-16,76.0,JP,Animation,119000000.0,583004188.8,,,,
2022-03-31,77.0,AU,Animation,70000000.0,250659286.0,,,,
2014-09-05,59.0,US,Thriller,7270000.0,1169603.0,,,,
2014-12-06,78.0,JP,Action,903852.0,19840000.0,,,,
2011-05-19,65.0,AU,Adventure,379000000.0,1045713802.0,,,,
2023-01-17,61.0,US,Horror,97200000.0,463920468.0,,,,
2023-03-31,75.0,AU,Romance,96200000.0,412160901.0,,,,
2017-12-26,82.0,AU,Family,175000000.0,797660271.0,,,,
2022-07-08,75.0,AU,Animation,116200000.0,649271677.4,,,,
1995-12-07,80.0,AU,Animation,30000000.0,365270951.0,,,,
2021-11-25,75.0,AU,Animation,82000000.0,146281732.0,,,,
2022-11-02,73.0,US,Thriller,80000000.0,522029092.4,,,,
1995-04-16,82.0,US,Drama,143260000.0,865531384.0,,,,
2022-05-20,68.0,JP,Fantasy,120400000.0,614097908.4,,,,
1997-12-18,79.0,AU,Drama,200000000.0,2222985568.0,,,,
2014-11-20,68.0,AU,Science Fiction,125000000.0,766575131.0,,,,
2016-12-09,67.0,AU,Horror,24570496.6,5972942.0,Movie,The Autopsy of Jane Doe,"United Kingdom, United States",2018-12-30
2022-04-29,52.0,US,Action,105000000.0,354205502.2,,,,
2022-01-03,64.0,GB,Horror,35442225.8,195189.0,,,,
2022-04-15,54.0,GB,Horror,174000000.0,474753914.4,,,,
2022-10-13,65.0,AU,Action,115200000.0,220908446.2,,,,
2022-11-10,65.0,FR,Action,122800000.0,377993107.0,,,,
2022-03-31,66.0,US,Thriller,110600000.0,660008190.4,,,,
2022-09-01,71.0,AU,Thriller,105.0,94909.0,Movie,The Good Neighbor,United States,2016-12-05
2022-10-05,69.0,TH,Documentary,111600000.0,767228967.6,,,,
2022-08-10,71.0,US,Animation,131400000.0,730150001.2,,,,
2014-02-28,69.0,US,Drama,22000000.0,70949793.0,,,,
2021-12-09,80.0,AU,Animation,20011197.0,14037060.0,,,,
2021-11-12,72.0,JP,Animation,107200000.0,632203108.6,,,,
2021-12-09,61.0,AU,Horror,25000000.0,41909091.0,,,,
2022-07-01,76.0,JP,Animation,13187504.6,7283918.0,,,,
2022-12-22,70.0,AU,Mystery,72000000.0,214883443.8,,,,
1994-08-25,83.0,AU,Family,260000000.0,1647733638.0,,,,
1994-08-25,83.0,AU,Family,79300000.0,986193783.0,,,,
2015-04-23,73.0,AU,Action,365000000.0,1395316979.0,,,,
2016-06-16,79.0,AU,Drama,20000000.0,208064908.0,,,,
2021-06-18,79.0,AU,Animation,200000000.0,49750471.0,,,,
2006-07-06,73.0,AU,Adventure,200000000.0,1065659812.0,,,,
2022-11-18,72.0,AU,Horror,30000000.0,73040804.0,,,,
2002-03-21,73.0,AU,Animation,65000000.0,386116343.0,,,,
2021-11-26,61.0,JP,Animation,139600000.0,350558192.6,,,,
1990-07-05,73.0,AU,Animation,40000000.0,211343479.0,Movie,The Little Mermaid,United States,2018-12-01
2010-07-02,63.0,AU,Comedy,165000000.0,756244673.0,,,,
2022-01-01,75.0,AU,Fantasy,75000000.0,203614138.0,,,,
2020-02-13,74.0,AU,Action,85000000.0,319715683.0,,,,
2022-06-10,86.0,JP,Animation,189000000.0,1168749675.2,,,,
2015-04-18,68.0,JP,Action,5000000.0,61768190.0,,,,
2022-11-25,73.0,AU,Comedy,97200000.0,641749489.4,,,,
2022-08-12,68.0,US,Action,143000000.0,420598835.4,,,,
2010-01-10,72.0,AU,Romance,105000000.0,270997378.0,Movie,The Princess and the Frog,United States,2019-07-16
2022-04-27,59.0,AU,Romance,162100000.0,437846475.2,,,,
2023-03-08,68.0,DE,Romance,52900000.0,368167712.6,,,,
2022-10-26,60.0,PL,Horror,146740000.0,301123555.2,,,,
2022-04-28,60.0,BR,Mystery,105000000.0,227896979.2,,,,
2016-03-17,77.0,AU,Animation,150000000.0,1002462578.0,,,,
2013-10-01,73.0,US,Fantasy,92600000.0,428471214.2,,,,
2022-11-23,63.0,AU,Action,121600000.0,343621307.4,,,,
2021-09-09,76.0,AU,Comedy,110000000.0,331526598.0,,,,
2022-12-29,74.0,MX,Comedy,88200000.0,429165998.8,,,,
2022-12-02,71.0,US,Animation,18000000.0,73695194.0,,,,
2010-04-29,68.0,AU,Adventure,170000000.0,621156389.0,,,,
2013-07-18,75.0,AU,Horror,20000000.0,316849722.0,Movie,The Conjuring,United States,2021-02-21
2019-08-01,69.0,AU,Action,200000000.0,760732926.0,,,,
2022-11-29,43.0,AU,Comedy,77300000.0,564483267.8,,,,
2014-09-12,72.0,AU,Action,34000000.0,348319861.0,,,,
2023-01-01,62.0,AU,Drama,178000000.0,528252215.4,,,,
2022-01-06,68.0,AU,Action,100000000.0,125928656.0,,,,
2014-12-26,73.0,AU,Action,250000000.0,940323039.0,,,,
2020-09-26,82.0,FR,Animation,134400000.0,662530414.0,,,,
2018-03-22,63.0,AU,Drama,7855689.0,11710110.0,Movie,Mary Magdalene,"United Kingdom, Australia, United States",2021-07-01
2019-04-18,78.0,US,Animation,101000000.0,893800197.2,,,,
2021-11-04,68.0,AU,Action,150000000.0,173638.0,,,,
2022-10-13,63.0,GT,Horror,87000000.0,476680473.8,,,,
2022-08-10,71.0,US,Animation,131400000.0,730150001.2,,,,
2022-03-24,68.0,AU,Horror,1000000.0,15113105.0,,,,
2021-04-07,75.0,AU,Animation,65000000.0,214790246.0,,,,
2015-08-07,76.0,JP,Animation,24413000.0,39500000.0,,,,
2017-10-26,76.0,AU,Action,180000000.0,850482778.0,Movie,Thor: Ragnarok,United States,2018-06-05
